Spell Name,Action (Concentration),Duration,Save,Effect,Upcast,Cleric Spell List,Druid Spell List,Sorcerer Spell List,Warlock Spell List,Wizard Spell List,Source
Absorb Elements,Bonus,3 turns,,Grant a creature Resistance to an element of your choice for 3 turns,Select +1 target/level,X,X,,,,
Acid Cloud,Action (C),Permanent,CON,Create a 3m cloud dealing 1D6+4 Acid dmg. Prevent creatures from taking actions on failed save ,Deal 1d6+4 dmg/level,,,X,X,,
Aid,Action,Until Long Rest,,6 temporary HP for you and all nearby allies,Provide +6 HP/level,X,X,,,,
Animate Dead,Bonus,Until Long Rest,,Animate a skeleton or a zombie from a corpse,Animate 1 more undead/level,X,,,,X,
Arcane Gate,Bonus,Until Long Rest,,Create two linked teleporation portals (18m range),No upcasting,X,,,,X,
Arcane Lock,Bonus (C),Until Long Rest,,Lock a door or container,Select +1 target/level,X,,,,X,
Arcane Vortex,Action,3 turns,STR,Deal 1D12 force dmg in a very large AOE. The vortex is Difficult Terrain,Deal 1d12 dmg/level,,,X,,X,
Armour of Agathys,Bonus,Until Long Rest,,Gain 6 temporary HP and deal 6 cold damage to any creature that hits you with a melee attack,Gain +6 HP and deal +6 dmg/level,,,,X,X,
Arms of Hadar,Action,1 turn,STR,Deal 1D12+4 necrotic dmg  in a 3m AOE around the caster and prevent creatures from taking reactions on failed save,Deal 1d12+4 dmg/level,X,,,X,,
Aura of Life,Action,3 rounds,,Allies within a 3 m radius aura regain 1d6 Hit Points at the start of their turns. Downed allies regain 1 Hit Point.,Increase healing by 1d6/level,X,X,,,,
Bane,Bonus (C),Until Long Rest,No save,Apply a -1d4 penalty to attack rolls and saving throws,Select +1 target/level,X,,,X,,
Banishment,Action,1 turn,No save,Banish a target from existence for 1 turn without save,Increase the duration by 1 turn/level,X,,X,,,
Barkskin,Bonus,3 rounds,,Grant 1 Elemental Damage Reduction,Increase DR by +1/level and target by +1/level,,X,X,,,
Barrier of Holding,Action (C),Until Long Rest,STR ,Creatures in a 3m AOE are bound and can't move on failed save,No upcasting,X,,,,X,
Beacon of Hope,Bonus,3 turns,,Target creature regain the maximum HP when healed,Select +1 target/level,X,X,,,,
Blade Barrier,Action (C),Until Long Rest,DEX,"Wall of razor, 1d12 slashing dmg",Deal 1d12 dmg/level,,,,X,X,
Bless,Bonus (C),Until Long Rest,,Apply +1d4 to Attack rolls and Saving Throws,Select +1 target/level,X,X,,,,
Blight,Action,,CON,"Deal 1d12+4 necrotic dmg, range 18m, undeads have disadvantage on save On Save: half damage",Deal 1d12+4/level,,X,,X,,
Blindness,Bonus,3 turns,CON,Blind a creature. Save at the end of each turn,Select +1 creature/level,,X,X,,,
Blink,Bonus,,,Swap place with another creature,No upcasting,,,X,,X,
Blood Broker,Bonus,,,Sacrifice your own life to resurrect a companion with all their hit point. Melee range,"Increase range by 1,5m/level",X,,,X,,
Blur,Bonus,3 turns,,"All attacks against affected target have disadvantage, 18m range. Does not affect creatures that don't rely on sight or that can see trough illusions.",Select +1 target/level,,,X,,X,
Borrowed Knowledge,Bonus,3 turns,,Grants yourself or another creature advantage on Skill Checks.,No upcasting,X,,,,X,
